,currency_change,market_cap,name,price,supply,symbol,volume
399,1.27,6788972.71287,Hydro,0.00158653167897,4279128367.15,HYDRO,185426.517031
400,-2.11,6786197.14104,ZelCash,0.113382963661,59852000.0,ZEL,401279.541473
401,-0.13,6757454.65293,DAOstack,0.17436323279,38755043.393,GEN,15213.8479184
402,0.42,6721838.4947,YOYOW,0.022406135968,299999897.541,YOYOW,2005319.64182
403,4.23,6656947.17013,Amoveo,110.043819154,60493.60356,VEO,2090.82383881
404,0.02,6635613.04048,Viberate,0.0359482110844,184588129.432,VIB,1258584.25013
405,-0.39,6630131.22562,CPChain,0.0175974844475,376765852.267,CPC,404510.146601
406,-0.41,6608206.48471,BitTube,0.0451388915004,146397181.345,TUBE,42434.276054
407,0.25,6607676.5881,B2BX,0.398301235971,16589646.2058,B2B,291011.837426
408,0.91,6551308.48272,TurtleCoin,0.000159762432361,41006564471.4,TRTL,271565.196079
409,-0.01,6482846.69241,Etherparty,0.0106705055274,607548224.943,FUEL,959657.683739
410,-6.19,6424617.19904,Synthetix Net...,0.085618089618,75038081.645,SNX,158759.501977
411,-0.53,6408470.48488,BlockMason Cr...,0.0551699726795,116158667.0,BCPT,1495189.07062
412,-0.18,6398251.07816,Swarm,0.0813613091747,78639972.0341,SWM,311911.750867
413,-0.01,6362923.23825,Playgroundz,0.222907566626,28545120.0,IOG,41253.3425863
414,-0.14,6311920.24022,Morpheus.Network,0.202607715549,31153405.1066,MRPH,480052.857949
415,0.27,6209885.60887,Lunyr,2.70247287213,2297853.07853,LUN,658051.766901
416,-0.08,6174092.33243,Universa,0.00333958445928,1848760649.03,UTNP,15270.9112768
417,1.04,6173133.73651,AirSwap,0.0411542249101,150000000.0,AST,581243.029398
418,0.65,6167345.99198,Dock,0.0139734089457,441363021.432,DOCK,2155336.04426
419,-0.42,6156516.1948,NaPoleonX,0.281701520478,21854749.61,NPX,90315.061311
420,-3.06,6146612.73999,Nimiq,0.00166416694523,3693507287.6,NIM,127842.563178
421,-0.32,6137642.74773,SwissBorg,0.010658939725,575821132.878,CHSB,35693.8884117
422,0.25,6135461.67564,LINA,0.0321070025328,191094191.037,LINA,66603.7247233
423,1.63,6114432.62354,Feathercoin,0.0261469265361,233849000.0,FTC,22459.6800508
424,-0.13,6093405.5476,Seele,0.00889384816734,685125879.479,SEELE,115000.519908
425,-0.06,6078204.49393,StableUSD,1.00121321368,6070839.26868,USDS,87155.7322201
426,-0.01,6006573.98026,smARTOFGIVING,0.103303755499,58144778.486,AOG,10344.8192353
